Sr_No,Category,Date,Subject,Status
"18.13","ADMINISTRATION","01.07.2013","Appointment of Liaison Officers for matters related to the represenrtation of Scheduled Castes and Schduled tribes and Other Backward Casters in NhAI and setting-up of Reservations Cell in NHAI.","Pending"
"18.14","ADMINISTRATION","04.07.2013","Formation of Joint Working Group between NhAI and DFCCIL","Pending"
"18.15","ADMINISTRATION","19.03.2014","Empanelment of manufacturing firms/authorized suppliers of various types of expansion joints for bridges on National Highways and other Centrally Suponsored Schemes.","Pending"
"18.16","ADMINISTRATION","18.03.2014","Public Procurement Policy for Micro and Small Enterprise (MSEs) -reg","Pending"
"18.17","ADMINISTRATION","15.12.2015","Signing of the Concession Agreement/Contract Agreement strictly as per the RFP documents","Pending"
"18.18","ADMINISTRATION","30.08.2016","Insertion of the Clause regarding Digital Signatory in Notice Inviting tender document","Pending"
"18.19","ADMINISTRATION","27.10.2016","Policy on issue of Policy Circulars","Pending"
"18.20","ADMINISTRATION","28.12.2016","Examination of the proposals submitted by various Technical Divisions on Contractual issues by Contract Management Cell (CMC)- Maintaining the uniformity regarding.","Pending"
"18.21","ADMINISTRATION","18.01.2017","Appraisal of Projects- Certificate regarding technically sanction of proposals submitted to ministry to Ministry for appraisal/approval","Pending"
"18.22","ADMINISTRATION","13.07.2017","Optimization of Planning & Execution Process of NHAI Projects- reg.","Pending"
"18.23","ADMINISTRATION","28.07.2017","Periodic Inspections of Works and Consultancy Contracts by ROs and PDs - reg.","Pending"
"18.24","ADMINISTRATION","21.08.2017","Delegation of Power in implementation of the Projects.","Pending"
"18.25","ADMINISTRATION","06.09.2017","Delegation of Power in Implementation of the Projects : Composition of Evaluation Committee for selection of Consultants reg.","Pending"
"18.26","ADMINISTRATION","13.09.2017","Conditions for invitations of Bids for Award of Projects - reg.","Pending"
"18.27","ADMINISTRATION","27.09.2017","Revised Delegation of Powers for approval /release of compensation.","Pending"
"18.28","ADMINISTRATION","03.11.2017","Financial implications of agenda items placed before the executive committee.","Pending"
"18.29","ADMINISTRATION","11.12.2017","Mechanism for providing performance based incentive to officials in NHAI.","Pending"
"18.30","ADMINISTRATION","20.03.2018","Linking factor due to change of base year of WPI from 2004-05 to 2011-12.","Pending"
"18.31","ADMINISTRATION","20.06.2018","Submission of agenda item for discussion in EC meeting-reg.","Pending"
"18.32","ADMINISTRATION","02.07.2018","Revised Delegation of power in award of EPC Projects-reg.","Pending"
"18.33","ADMINISTRATION","13.08.2018","Possession and control of all materials; stores; implements; construction plants and 	equipment on or about the Site of Plant & Machinery at site by the Authority after termination of Concessionaire /Contractor in BOT & EPC projects-reg.","Pending"
"18.34","ADMINISTRATION","29.03.2019","Regarding Opening of single bid received in 3rd call after no response in first two calls","Pending"
"18.35","ADMINISTRATION","29.03.2019","Regarding Revised delegation for award of projects on EPC & HAM Mode","Pending"
"18.36","ADMINISTRATION","12.09.2019","Use of Waste Plastic obtained through Dry Process outlined in IRC:SP:98-2013 in Hot Bituminous Mixes (Wearing Courses)","Pending"
"18.37","ADMINISTRATION","09.12.2019","Maintenance of stretches entrusted to NHAI.","Pending"
"18.38","ADMINISTRATION","07.02.2020","Maintenance of stretches entrusted to NHAI","Pending"
"18.39","ADMINISTRATION","12.03.2020","Maintenance of Stretches entrusted to NHAI - Corrigendum to NHAI/ Policy Guidelines No. 18.37/2019 dated 09.12.2019","Pending"
"18.40","ADMINISTRATION","23.03.2020","Amendment to policy guidelines no 18.36/2019 dated 12.09.2019 on use of Waste Plastic outlined in IRC:SP:98-2013 in Hot Bituminous Mixes (Wearing Courses)","Pending"
"18.41","ADMINISTRATION","15.04.2020","Priority Maintenance of National Highways entrusted to NHAI.","Pending"
"18.42","ADMINISTRATION","21.04.2020","Proper Inspection of Congested Reaches with NHAI in Cities/Towns.","Pending"
"18.43","ADMINISTRATION","27.04.2020","NHAI/Policy Guidelines/ Maintenance /2020 No. 18.43/2020 dated 27th April; 2020 reg Maintenance of NHs","Pending"
"18.44","ADMINISTRATION","13.05.2020","Development and Management of NHs not included under Bharatmala Pariyojana.","Pending"
"18.45","ADMINISTRATION","18.05.2020","Identification of 2-3 stretches for developing as Model Stretches.","Pending"
"18.46","ADMINISTRATION","22.06.2020","Procedure and Delegation of Power for Relief to Contractor/Developers of Road Sector under Atmanirbhar Bharat.","Pending"
"18.47","ADMINISTRATION","30.06.2020","Amendment to the procedure and delegation of power for relief to Contractors / developers of Road Sector under Atmanirbhar Bharat.","Pending"
"18.48","ADMINISTRATION","08.07.2020","Drainage Systems: Adequacy & Effectiveness.","Pending"
"18.49","ADMINISTRATION","22.07.2020","Amendment to the Procedure and Delegation of Power for Relief to Contractors/Developers of Road Sector under Atmanirbhar Bharat-reg.","Pending"
"18.50","ADMINISTRATION","20.08.2020","Development of Wayside Amenities along National Highways and Expressways-reg.","Pending"
"18.51","ADMINISTRATION","28.08.2020","Standard Operating Procedure (SOP) in case of failure of structural components like Bridges; Overpasses; Underpasses; RE Walls; Retaining Walls; etc. on National Highways during Construction or O&M Period.","Pending"
"18.52","ADMINISTRATION","09.09.2020","Inspection of structures; Retaining walls and RE walls on National Highways - Reg.","Pending"
"18.53","ADMINISTRATION","17.09.2020","Issues encountered by Stakeholders during Implementation of Projects","Pending"
"18.54","ADMINISTRATION","01.10.2020","Inspection of failed structures such as Bridges; Overpasses; Underpasses etc. during Construction or O&M Period by the Bridge Experts-reg.","Pending"
"18.55","ADMINISTRATION","08.10.2020","Procedure for site visit/ inspection of works in DPR stage; on-going works and completed works.","Pending"
"18.56","ADMINISTRATION","08.10.2020","Procedure and Delegation of Power for Relief to Contractor/Developers of Road Sector under Atmanirbhar Bharat.","Pending"
"18.57","ADMINISTRATION","15.10.2020","Atmanirbhar Bharat: Relief for Contractors/ Developers of Road Sector.","Pending"
"18.58","ADMINISTRATION","17.11.2020","Regarding replies being given by Technical Divisions as ‘As per RFP’ in response to the pre-bid queries in various contracts (BOT/HAM/EPC/TOT; etc.).","Pending"
"18.59","ADMINISTRATION","31.12.2020","Vetting of certain critical correspondence to be issued by PIUs by GMC (M/s. KPMG)-reg.","Pending"
"18.6","ADMINISTRATION","20.09.2012","Note about Naini Bridge","Pending"
"18.60","ADMINISTRATION","05.01.2021","Delegation of Power in implementation of the Projects","Pending"
"18.61","ADMINISTRATION","05.01.2021","Riding Quality at approaches/ Expansion Joints of Structures.","Pending"
"18.62","ADMINISTRATION","06.01.2021","Atmanirbhar Bharat: Relief for Contractors/ Developers of Road Sector.","Pending"
"18.63","ADMINISTRATION","08.01.2021","Standard Operating Procedure to decide penal action in case of failure of structures/ highway in NHAI projects.","Pending"
"18.64","ADMINISTRATION","08.01.2021","Delegation of Provision of Underground Tunnels at Toll Plazas.","Pending"
"18.65","ADMINISTRATION","11.01.2021","Guidelines on Planning and Design of Highways passing through urban/inhabited areas-reg.","Pending"
"18.66","ADMINISTRATION","11.03.2021","Deployment of Ambulances - Revised Policy Guidelines.","Pending"
"18.67","ADMINISTRATION","23.03.2021","Submission of Agenda Items for EC Meetings","Pending"
"18.68","ADMINISTRATION","01.04.2021","Clari?cation regarding applicability of Atmanirbhar Bharat relief upto 30.06.2021 for Contractors/ Developers of Road Sector for Schedule-G in HAM projects.","Pending"
"18.69","ADMINISTRATION","10.06.2021","Mandatory monthly Drone Video Recording of Project Highway during the development; construction and O&M period-reg.","Pending"
"18.7","ADMINISTRATION","25.10.2012","Exercise of delegated powers","Pending"
"18.70","ADMINISTRATION","25.08.2021","Relief for Contractors/Developers of Road Sector in view of COVID-19 pandemic- reg.","Pending"
"18.71","ADMINISTRATION","31.08.2021","Reduction of contingency charges for the execution of National Highways works","Pending"
"18.72","ADMINISTRATION","31.08.2021","Consolidated Instruction regarding Global Tender Enquiry (GTE) under Rule 161 (iv) of General Financial Rules (GFRs) 2017 upto Rs. 200 Crores - reg.","Pending"
"18.73","ADMINISTRATION","31.08.2021","Relief for Contractors-Developers of Road Sector in view of COVID-19 pandemic - reg.","Pending"
"18.74","ADMINISTRATION","13.10.2021","Relief for Contractors-Developers of Road Sector in view of COVID-19 pandemic  - reg.","Pending"
"18.75","ADMINISTRATION","03.11.2021","Drone Video Recording of Project Highway during the development; construction and O&M period- reg.","Pending"
"18.76","ADMINISTRATION","31.12.2021","Maintenances of Stretches - reg.","Pending"
"18.77","ADMINISTRATION","17.01.2022","Relief for Contractors-Developers of Road Sector in view of COVID-19 pandemic","Pending"
"18.78","ADMINISTRATION","18.02.2022","Guidelines for acceptance and award of single tenders- reg.","Pending"
"18.79","ADMINISTRATION","11.03.2022","Standard Operating Procedure (SOP) for Award of Wayside Amenities along National Highways and Expressways- reg.","Pending"
"18.8","ADMINISTRATION","11.12.2012","Implementation of Executive Committee decisions-reg","Pending"
"18.80","ADMINISTRATION","11.03.2022","Relaxation on Global Tender Enquiry (GTE) under Rule 161 (iv) of General Financial Rules (GFRs)s 2017 for procurement of raw materials - reg.","Pending"
"18.81","ADMINISTRATION","28.04.2022","Relief for Contractors-Developers of Road Sector in view of COVID-19 pandemic - reg.","Pending"
"18.82","ADMINISTRATION","07.09.2022","Mishap/ falling down of passenger bus from Bridge into Narmada River on NH-3 (Agra-Mumbai Road) near Khalghat in Madhya Pradesh on 18.07.2022- reg.","Pending"
"18.83","ADMINISTRATION","01.10.2022","Standard Operating Procedure (SOP) for taking over the Project Highways completed under BOT/ HAM/ OMT/ TOT/ EPC Mode upon completion of Concession Periods/ DLPs - reg.","Pending"
"18.84","ADMINISTRATION","26.10.2022","Strengthening the incident management and response system of NHAI-reg..","Pending"
"18.85","ADMINISTRATION","05.12.2022","Relief for Contractors-Developers of Road Sector in view of COVID-19 pandemic - reg.","Pending"
"18.86","ADMINISTRATION","12.05.2023","Relief for Contractors - Developers of Road Sector in view of COVID-19 Pandemic","Pending"
"18.87","ADMINISTRATION","25.05.2023","Inspection of failed structures such as Bridges; Overpasses; Underpasses etc. during Construction or O&M Period by the Bridge Experts","Pending"
"18.88","ADMINISTRATION","13.06.2023","Inclusion of provisions regarding accepting E-Bank Guarantee and lnsurance Surety Bonds as 'Bid Security' and 'Performance Security' in standard documents of EPC; HAM and BOT (Toll)-Reg.","Pending"
"18.89","ADMINISTRATION","05.07.2023","Development of Wayside Amenities along National Highways and Expressways De-scoping of Construction of Wayside Amenities from scope of road contractor and adherence to approved standard layout plan-reg.","Pending"
"18.9","ADMINISTRATION","24.06.2013","PPP and EPC Projects\`s Stakeholder\`s Grievance Redressal Committees","Pending"
"18.90","ADMINISTRATION","20.07.2023","राष्ट्रीय राजमार्गों और एक्सप्रेसवे के किनारे मार्गस्थ सुविधाओं के विकास; मार्गस्थ 		सुविधाओं के निर्माण को सड़क संविदाकार के दायरे से बाहर करने और अनुमोदित 		मानक लेआउट योजनाओं के पालन के संबंध में.","Pending"
"18.91","ADMINISTRATION","03.11.2023","Works sanctioned & Bids invited by Regional Officers - Delegation of Power to Regional Officers to decide on COS and EOT- reg.","Pending"
"18.92","ADMINISTRATION","03.11.2023","Revised Delegation of Power for approval of Change of Scope; Revised Pre-construction Cost & Revised Project (Capital) Cost","Pending"
